antecedents,consequents,support,confidence,lift,leverage,conviction
frozenset({'whipped/sour cream'}),frozenset({'whole milk'}),0.08434894162924952,0.5334685598377282,1.161560732942763,0.011732039871943045,1.159045653568341
frozenset({'bottled beer'}),frozenset({'whole milk'}),0.08210391276459268,0.5192697768762676,1.130644667807404,0.009487011007286203,1.124812237640162
frozenset({'curd'}),frozenset({'whole milk'}),0.0651058370750481,0.5370370370370371,1.169330643492655,0.009427969196220833,1.167979474021809
frozenset({'other vegetables'}),frozenset({'whole milk'}),0.19018601667735727,0.5064047822374038,1.1026327590895426,0.017702463010408204,1.0954952935405757
frozenset({'bottled water'}),frozenset({'whole milk'}),0.11289288005131494,0.5245901639344263,1.142229141862808,0.014057299769058063,1.1374001902191946
"frozenset({'bottled water', 'other vegetables'})",frozenset({'whole milk'}),0.05452212957023733,0.5944055944055944,1.2942434660311755,0.012395488794193416,1.3331821901749574
frozenset({'pastry'}),frozenset({'whole milk'}),0.0881975625400898,0.507380073800738,1.1047563338761879,0.008363159391083494,1.09766416097902
frozenset({'beef'}),frozenset({'whole milk'}),0.06703014753046825,0.5573333333333333,1.2135232774674116,0.011794167491949129,1.2215314110837192
frozenset({'frozen vegetables'}),frozenset({'whole milk'}),0.05291853752405388,0.515625,1.122708624301676,0.005783834557850892,1.1163483622669619
frozenset({'yogurt'}),frozenset({'whole milk'}),0.14753046824887747,0.51511758118701,1.1216037836180848,0.015995187783817283,1.1151801281984808
"frozenset({'yogurt', 'other vegetables'})",frozenset({'whole milk'}),0.06959589480436178,0.5817694369973191,1.2667298216184644,0.014654506659381422,1.2929022548971236
"frozenset({'soda', 'yogurt'})",frozenset({'whole milk'}),0.05388069275176395,0.5508196721311476,1.1993405989559485,0.008955428987101728,1.20381771957506
"frozenset({'yogurt', 'rolls/buns'})",frozenset({'whole milk'}),0.06446440025657472,0.587719298245614,1.2796848965990395,0.014089186461445281,1.3115608750835914
"frozenset({'soda', 'rolls/buns'})",frozenset({'whole milk'}),0.0654265554842848,0.5396825396825398,1.1750908929679882,0.00974868760545753,1.1746919997345782
"frozenset({'soda', 'other vegetables'})",frozenset({'whole milk'}),0.0686337395766517,0.5473145780051151,1.1917086970809698,0.011041024389822428,1.1944966895337081
frozenset({'butter'}),frozenset({'whole milk'}),0.06478511866581142,0.5166240409207161,1.124883910328766,0.0071924034789821525,1.1186556298807742
frozenset({'sausage'}),frozenset({'whole milk'}),0.10840282232200128,0.5176110260336907,1.1270329463498936,0.012218569081593314,1.120944439353676
"frozenset({'rolls/buns', 'sausage'})",frozenset({'whole milk'}),0.05035279025016036,0.5924528301886792,1.289991567408032,0.011319364356273509,1.3267942413227851
"frozenset({'sausage', 'other vegetables'})",frozenset({'whole milk'}),0.05291853752405388,0.5427631578947368,1.181798551896501,0.008140569706161047,1.1826064485166197
frozenset({'pip fruit'}),frozenset({'whole milk'}),0.08659397049390635,0.5103969754253308,1.1113252579442607,0.008674414652902043,1.1044278953194926
frozenset({'domestic eggs'}),frozenset({'whole milk'}),0.06959589480436178,0.5216346153846155,1.1357938064030944,0.008320780948297898,1.1303728391798638
frozenset({'canned beer'}),frozenset({'whole milk'}),0.09172546504169339,0.5286506469500923,1.151070333233511,0.012038357839456462,1.1471984303663734
frozenset({'brown bread'}),frozenset({'whole milk'}),0.06927517639512508,0.5118483412322274,1.1144854245545288,0.007116286858444891,1.1077115651681124
frozenset({'shopping bags'}),frozenset({'whole milk'}),0.09012187299550994,0.5362595419847328,1.1676377457460871,0.01293879688835256,1.1660212703616595
frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.1796023091725465,0.510948905109489,1.112527015454879,0.01816595151330125,1.1056743224225247
"frozenset({'rolls/buns', 'other vegetables'})",frozenset({'whole milk'}),0.081783194355356,0.5616740088105727,1.2229745527034677,0.014910834522055508,1.233628050451101
frozenset({'chicken'}),frozenset({'whole milk'}),0.05131494547787043,0.5015673981191223,1.092099963223061,0.004327538458436836,1.0848633013421765
"frozenset({'tropical fruit', 'other vegetables'})",frozenset({'whole milk'}),0.05163566388710712,0.5494880546075086,1.1964411691803156,0.008477951483677519,1.2002594903492918
frozenset({'fruit/vegetable juice'}),frozenset({'whole milk'}),0.06414368184733804,0.5102040816326531,1.1109052559571315,0.00640367071373938,1.103992944194997
frozenset({'newspapers'}),frozenset({'whole milk'}),0.07280307889672867,0.5206422018348623,1.1336329506432268,0.008582046105277102,1.1280326304126984
frozenset({'margarine'}),frozenset({'whole milk'}),0.061257216164207824,0.5218579234972678,1.1362800317489392,0.007346899646613156,1.130900760560799
